Package-0,,,,,,,,,,,,,,,,,,,,,,,,Package-1,,,,,,,,,,,,,,,,,,,,,,,,
Timestamp, Pkg0-Total Mem Bw (GB/s),Pkg0-Total Mem RdBw (GB/s),Pkg0-Total Mem WrBw (GB/s),Pkg0-Mem Ch-A RdBw (GB/s),Pkg0-Mem Ch-A WrBw (GB/s),Pkg0-Mem Ch-B RdBw (GB/s),Pkg0-Mem Ch-B WrBw (GB/s),Pkg0-Mem Ch-C RdBw (GB/s),Pkg0-Mem Ch-C WrBw (GB/s),Pkg0-Mem Ch-D RdBw (GB/s),Pkg0-Mem Ch-D WrBw (GB/s),Pkg0-Mem Ch-E RdBw (GB/s),Pkg0-Mem Ch-E WrBw (GB/s),Pkg0-Mem Ch-F RdBw (GB/s),Pkg0-Mem Ch-F WrBw (GB/s),Pkg0-Mem Ch-G RdBw (GB/s),Pkg0-Mem Ch-G WrBw (GB/s),Pkg0-Mem Ch-H RdBw (GB/s),Pkg0-Mem Ch-H WrBw (GB/s),Pkg0-Approximate xGMI outbound data bytes (GB/s),Pkg0-xGMI0 BW (GB/s),Pkg0-xGMI1 BW (GB/s),Pkg0-xGMI2 BW (GB/s),Pkg0-xGMI3 BW (GB/s),Pkg1-Total Mem Bw (GB/s),Pkg1-Total Mem RdBw (GB/s),Pkg1-Total Mem WrBw (GB/s),Pkg1-Mem Ch-A RdBw (GB/s),Pkg1-Mem Ch-A WrBw (GB/s),Pkg1-Mem Ch-B RdBw (GB/s),Pkg1-Mem Ch-B WrBw (GB/s),Pkg1-Mem Ch-C RdBw (GB/s),Pkg1-Mem Ch-C WrBw (GB/s),Pkg1-Mem Ch-D RdBw (GB/s),Pkg1-Mem Ch-D WrBw (GB/s),Pkg1-Mem Ch-E RdBw (GB/s),Pkg1-Mem Ch-E WrBw (GB/s),Pkg1-Mem Ch-F RdBw (GB/s),Pkg1-Mem Ch-F WrBw (GB/s),Pkg1-Mem Ch-G RdBw (GB/s),Pkg1-Mem Ch-G WrBw (GB/s),Pkg1-Mem Ch-H RdBw (GB/s),Pkg1-Mem Ch-H WrBw (GB/s),Pkg1-Approximate xGMI outbound data bytes (GB/s),Pkg1-xGMI0 BW (GB/s),Pkg1-xGMI1 BW (GB/s),Pkg1-xGMI2 BW (GB/s),Pkg1-xGMI3 BW (GB/s),
00:00:02:735, 25.16,12.83,12.33,0.02,0.01,0.02,0.01,6.37,6.13,6.37,6.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.26,0.16,0.11,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.01,
00:00:02:989, 19.34,10.07,9.27,0.02,0.01,0.02,0.01,4.96,4.60,4.95,4.59,0.05,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.41,0.30,0.11,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.09,0.02,0.09,0.02,0.02,0.01,0.02,0.01,0.02,0.00,0.00,0.00,0.02,
00:00:03:242, 11.09,5.97,5.12,0.02,0.01,0.02,0.02,2.94,2.52,2.94,2.52,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.00,0.00,0.00,0.26,0.15,0.11,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.04,0.01,0.00,0.01,0.02,
00:00:03:496, 30.40,15.44,14.96,0.03,0.01,0.03,0.01,0.17,0.06,0.16,0.06,0.01,0.01,0.01,0.01,7.52,7.39,7.52,7.39,0.10,0.00,0.09,0.00,0.00,0.29,0.18,0.11,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.02,
00:00:03:750, 23.40,11.98,11.41,0.01,0.02,0.01,0.02,0.09,0.03,0.09,0.03,0.01,0.01,0.01,0.01,5.88,5.65,5.87,5.65,0.09,0.00,0.09,0.00,0.00,0.25,0.15,0.11,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0.00,0.01,0.02,
00:00:04:004, 17.54,9.11,8.43,0.01,0.01,0.01,0.01,0.08,0.01,0.08,0.01,0.01,0.01,0.01,0.01,4.45,4.18,4.45,4.17,0.09,0.00,0.09,0.00,0.00,0.28,0.17,0.10,0.02,0.01,0.02,0.01,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0.02,0.01,0.01,0.01,0.00,0.00,0.01,
00:00:04:258, 8.93,4.76,4.17,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.34,2.05,2.34,2.04,0.09,0.00,0.09,0.00,0.00,0.24,0.13,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.01,0.01,
00:00:04:511, 28.57,14.55,14.02,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,7.21,6.97,7.22,6.97,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.28,0.17,0.11,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.01,
00:00:04:765, 22.62,11.55,11.07,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,5.72,5.49,5.73,5.50,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.28,0.17,0.11,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.01,
00:00:05:019, 16.59,8.62,7.97,0.03,0.01,0.03,0.01,0.01,0.01,0.01,0.01,4.25,3.94,4.26,3.95,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.29,0.18,0.10,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.01,
