Package-0,,,,,,,,,,,,,,,,,,,,,,,,Package-1,,,,,,,,,,,,,,,,,,,,,,,,
Timestamp, Pkg0-Total Mem Bw (GB/s),Pkg0-Total Mem RdBw (GB/s),Pkg0-Total Mem WrBw (GB/s),Pkg0-Mem Ch-A RdBw (GB/s),Pkg0-Mem Ch-A WrBw (GB/s),Pkg0-Mem Ch-B RdBw (GB/s),Pkg0-Mem Ch-B WrBw (GB/s),Pkg0-Mem Ch-C RdBw (GB/s),Pkg0-Mem Ch-C WrBw (GB/s),Pkg0-Mem Ch-D RdBw (GB/s),Pkg0-Mem Ch-D WrBw (GB/s),Pkg0-Mem Ch-E RdBw (GB/s),Pkg0-Mem Ch-E WrBw (GB/s),Pkg0-Mem Ch-F RdBw (GB/s),Pkg0-Mem Ch-F WrBw (GB/s),Pkg0-Mem Ch-G RdBw (GB/s),Pkg0-Mem Ch-G WrBw (GB/s),Pkg0-Mem Ch-H RdBw (GB/s),Pkg0-Mem Ch-H WrBw (GB/s),Pkg0-Approximate xGMI outbound data bytes (GB/s),Pkg0-xGMI0 BW (GB/s),Pkg0-xGMI1 BW (GB/s),Pkg0-xGMI2 BW (GB/s),Pkg0-xGMI3 BW (GB/s),Pkg1-Total Mem Bw (GB/s),Pkg1-Total Mem RdBw (GB/s),Pkg1-Total Mem WrBw (GB/s),Pkg1-Mem Ch-A RdBw (GB/s),Pkg1-Mem Ch-A WrBw (GB/s),Pkg1-Mem Ch-B RdBw (GB/s),Pkg1-Mem Ch-B WrBw (GB/s),Pkg1-Mem Ch-C RdBw (GB/s),Pkg1-Mem Ch-C WrBw (GB/s),Pkg1-Mem Ch-D RdBw (GB/s),Pkg1-Mem Ch-D WrBw (GB/s),Pkg1-Mem Ch-E RdBw (GB/s),Pkg1-Mem Ch-E WrBw (GB/s),Pkg1-Mem Ch-F RdBw (GB/s),Pkg1-Mem Ch-F WrBw (GB/s),Pkg1-Mem Ch-G RdBw (GB/s),Pkg1-Mem Ch-G WrBw (GB/s),Pkg1-Mem Ch-H RdBw (GB/s),Pkg1-Mem Ch-H WrBw (GB/s),Pkg1-Approximate xGMI outbound data bytes (GB/s),Pkg1-xGMI0 BW (GB/s),Pkg1-xGMI1 BW (GB/s),Pkg1-xGMI2 BW (GB/s),Pkg1-xGMI3 BW (GB/s),
00:00:12:626, 30.80,15.68,15.11,0.02,0.01,0.02,0.01,0.28,0.02,0.28,0.02,7.52,7.51,7.52,7.51,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.00,6.23,4.84,1.39,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,2.36,0.66,2.36,0.66,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.01,
00:00:12:880, 31.19,15.90,15.29,0.02,0.01,0.02,0.01,0.30,0.01,0.31,0.02,7.61,7.60,7.61,7.61,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.34,0.22,0.12,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.05,0.02,0.05,0.02,0.02,0.02,0.02,0.02,0.02,0.00,0.00,0.01,0.01,
00:00:13:134, 30.40,15.21,15.19,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,7.56,7.56,7.56,7.56,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.25,0.15,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.01,
00:00:13:387, 30.35,15.19,15.17,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,7.55,7.54,7.55,7.55,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.28,0.18,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.04,0.01,0.04,0.01,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.01,
00:00:13:641, 1.39,0.71,0.67,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.31,0.30,0.31,0.30,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.27,0.17,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.01,
00:00:13:895, 0.45,0.35,0.10,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.13,0.01,0.13,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.28,0.18,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.01,
00:00:14:148, 4.00,3.34,0.66,0.02,0.01,0.02,0.01,0.09,0.07,0.08,0.07,1.55,0.23,1.55,0.24,0.01,0.01,0.01,0.01,0.30,0.00,0.00,0.30,0.00,0.29,0.19,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.04,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.07,0.01,0.00,0.00,0.06,
00:00:14:401, 0.64,0.53,0.11,0.02,0.01,0.02,0.01,0.20,0.01,0.20,0.02,0.03,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.00,0.00,0.00,30.34,15.22,15.13,7.53,7.53,7.53,7.52,0.02,0.01,0.02,0.01,0.04,0.01,0.04,0.01,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.00,
00:00:14:654, 0.23,0.13,0.10,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,30.18,15.12,15.06,7.50,7.49,7.50,7.49,0.02,0.01,0.02,0.01,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:14:908, 0.23,0.12,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,30.43,15.24,15.19,7.56,7.56,7.56,7.55,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:15:161, 0.21,0.11,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,1.36,0.71,0.65,0.30,0.29,0.30,0.29,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:15:414, 0.22,0.12,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.00,0.00,8.57,7.98,0.59,3.93,0.26,3.92,0.26,0.02,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.53,0.51,0.00,0.00,0.01,
00:00:15:667, 22.16,11.41,10.75,5.66,5.34,5.66,5.34,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.00,0.00,0.00,7.19,4.81,2.38,2.32,1.15,2.33,1.15,0.02,0.01,0.02,0.01,0.04,0.01,0.03,0.01,0.03,0.01,0.02,0.01,0.04,0.01,0.00,0.01,0.03,
00:00:15:920, 30.23,15.14,15.09,7.52,7.51,7.52,7.51,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.00,0.42,0.31,0.12,0.09,0.02,0.09,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.00,0.00,0.00,0.02,
00:00:16:173, 30.54,15.28,15.26,7.60,7.59,7.60,7.59,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.25,0.15,0.10,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.00,0.00,0.00,0.01,
00:00:16:426, 30.57,15.30,15.27,7.61,7.60,7.61,7.60,0.02,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.28,0.17,0.11,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.01,
00:00:16:678, 1.35,0.69,0.66,0.30,0.29,0.30,0.29,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.26,0.16,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.01,
00:00:16:931, 1.18,1.06,0.12,0.32,0.02,0.32,0.02,0.18,0.02,0.16,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.29,0.19,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0.00,0.00,0.01,
00:00:17:184, 36.51,21.03,15.48,2.85,0.26,2.85,0.26,7.63,7.45,7.64,7.46,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.29,0.18,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.04,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.01,
00:00:17:438, 29.80,14.92,14.88,0.01,0.01,0.01,0.01,7.41,7.40,7.41,7.40,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.00,0.26,0.16,0.11,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.00,0.00,0.00,0.02,
00:00:17:691, 30.22,15.12,15.10,0.01,0.01,0.01,0.01,7.51,7.51,7.51,7.51,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.25,0.15,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.01,
00:00:17:945, 28.98,14.51,14.47,0.02,0.01,0.02,0.01,7.20,7.20,7.20,7.20,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.24,0.14,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.00,
00:00:18:199, 9.42,5.20,4.22,0.01,0.01,0.01,0.01,2.56,2.07,2.56,2.07,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.25,0.15,0.10,0.02,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.00,0.00,0.00,0.01,
00:00:18:453, 3.81,2.56,1.25,0.02,0.01,0.02,0.01,0.38,0.06,0.37,0.06,0.02,0.01,0.02,0.01,0.88,0.54,0.87,0.54,0.01,0.01,0.00,0.00,0.00,0.30,0.20,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.04,0.01,0.04,0.01,0.02,0.01,0.02,0.01,0.04,0.01,0.00,0.01,0.02,
00:00:18:706, 30.96,15.86,15.09,0.02,0.01,0.02,0.01,0.39,0.02,0.40,0.02,0.01,0.01,0.01,0.01,7.50,7.50,7.50,7.50,0.00,0.00,0.00,0.00,0.00,0.24,0.14,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0.00,0.01,0.01,
00:00:18:960, 30.34,15.15,15.18,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,7.53,7.55,7.53,7.55,0.00,0.00,0.00,0.00,0.00,0.25,0.15,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0.03,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:19:214, 30.25,15.13,15.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,7.52,7.52,7.52,7.52,0.00,0.00,0.00,0.00,0.00,0.23,0.13,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:19:467, 1.34,0.68,0.66,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.29,0.29,0.29,0.29,0.01,0.00,0.00,0.00,0.00,0.25,0.15,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0.00,0.01,0.01,
00:00:19:721, 4.49,3.90,0.60,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.90,0.26,1.91,0.26,0.00,0.00,0.00,0.00,0.00,0.26,0.16,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0.03,0.01,0.01,0.00,0.00,0.00,0.01,
00:00:19:975, 8.33,7.96,0.37,0.02,0.01,0.02,0.01,0.15,0.07,0.15,0.07,0.01,0.01,0.01,0.01,3.80,0.09,3.80,0.09,0.44,0.01,0.43,0.00,0.00,29.64,14.85,14.79,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0.02,0.01,7.36,7.35,7.37,7.36,0.01,0.01,0.00,0.00,0.00,
00:00:20:229, 0.46,0.35,0.11,0.02,0.01,0.03,0.01,0.12,0.01,0.12,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.00,0.00,0.00,29.67,14.86,14.82,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,7.38,7.37,7.38,7.37,0.00,0.00,0.00,0.00,0.00,
00:00:20:482, 0.23,0.13,0.10,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.00,0.00,0.00,29.46,14.76,14.70,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.03,0.01,7.32,7.31,7.32,7.31,0.00,0.00,0.00,0.00,0.00,
00:00:20:736, 0.23,0.12,0.11,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.00,0.00,0.00,29.52,14.78,14.74,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.02,0.01,7.34,7.33,7.34,7.33,0.00,0.00,0.00,0.00,0.00,
00:00:20:989, 0.25,0.14,0.11,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.00,1.40,0.73,0.67,0.02,0.01,0.02,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.30,0.30,0.30,0.30,0.00,0.00,0.00,0.00,0.00,
00:00:21:243, 0.23,0.13,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.00,0.00,0.67,0.56,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0.22,0.01,0.22,0.01,0.52,0.00,0.00,0.51,0.00,
00:00:21:496, 0.25,0.15,0.10,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.68,0.58,0.10,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.04,0.01,0.03,0.01,0.22,0.01,0.22,0.01,0.03,0.01,0.00,0.01,0.01,
00:00:21:749, 0.92,0.71,0.22,0.09,0.02,0.08,0.02,0.10,0.01,0.09,0.01,0.04,0.01,0.04,0.01,0.13,0.06,0.13,0.06,0.01,0.00,0.00,0.00,0.00,0.65,0.55,0.10,0.10,0.01,0.09,0.01,0.09,0.01,0.09,0.01,0.06,0.01,0.06,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.00,0.01,0.01,
00:00:22:001, 0.64,0.50,0.14,0.04,0.01,0.05,0.01,0.04,0.02,0.04,0.02,0.04,0.01,0.04,0.01,0.13,0.03,0.13,0.03,0.04,0.01,0.02,0.01,0.00,0.43,0.33,0.11,0.05,0.01,0.05,0.01,0.03,0.01,0.03,0.01,0.05,0.01,0.05,0.01,0.03,0.01,0.03,0.01,0.11,0.05,0.00,0.04,0.02,
00:00:22:254, 0.62,0.50,0.12,0.04,0.01,0.05,0.01,0.03,0.01,0.03,0.01,0.04,0.01,0.04,0.01,0.14,0.02,0.14,0.02,0.04,0.02,0.02,0.01,0.00,0.37,0.26,0.10,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.05,0.01,0.05,0.01,0.03,0.01,0.03,0.01,0.06,0.02,0.00,0.02,0.01,
00:00:22:506, 0.60,0.48,0.11,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.04,0.01,0.04,0.01,0.14,0.02,0.14,0.02,0.00,0.00,0.00,0.00,0.00,0.35,0.25,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.05,0.01,0.05,0.01,0.03,0.01,0.03,0.01,0.01,0.00,0.00,0.01,0.00,
00:00:22:760, 5.96,4.75,1.21,0.06,0.01,0.06,0.01,0.29,0.02,0.27,0.02,0.09,0.01,0.10,0.01,1.91,0.56,1.96,0.56,0.86,0.30,0.42,0.14,0.00,2.52,2.38,0.14,0.07,0.01,0.07,0.01,0.44,0.02,0.44,0.02,0.22,0.02,0.26,0.02,0.46,0.02,0.42,0.02,0.77,0.37,0.00,0.22,0.18,
00:00:23:014, 5.72,5.44,0.28,0.20,0.02,0.23,0.02,0.05,0.01,0.04,0.01,0.16,0.03,0.16,0.03,2.29,0.08,2.32,0.08,27.58,8.92,8.10,10.56,0.00,12.34,5.17,7.17,0.74,0.18,0.85,0.18,0.19,0.21,0.18,0.21,1.02,3.06,1.09,3.06,0.56,0.14,0.54,0.14,0.11,0.05,0.00,0.03,0.03,
00:00:23:266, 0.65,0.47,0.18,0.05,0.03,0.05,0.03,0.05,0.02,0.05,0.02,0.05,0.02,0.05,0.02,0.08,0.02,0.09,0.02,22.72,5.86,6.26,10.60,0.00,34.06,13.45,20.62,1.74,2.53,1.74,2.53,1.63,2.79,1.63,2.79,1.80,2.67,1.78,2.67,1.56,2.31,1.56,2.31,0.08,0.03,0.00,0.02,0.03,
00:00:23:518, 0.69,0.50,0.19,0.06,0.02,0.06,0.02,0.04,0.02,0.04,0.02,0.05,0.02,0.05,0.02,0.10,0.03,0.10,0.03,19.30,4.59,4.21,10.50,0.00,31.79,11.75,20.04,1.27,2.16,1.26,2.16,2.17,3.66,2.17,3.67,1.35,2.20,1.33,2.20,1.09,2.00,1.09,2.00,0.07,0.04,0.00,0.02,0.02,
00:00:23:771, 0.69,0.50,0.19,0.06,0.03,0.06,0.03,0.05,0.02,0.05,0.02,0.05,0.03,0.05,0.03,0.09,0.02,0.09,0.02,20.34,5.00,4.84,10.50,0.00,33.29,13.55,19.74,2.39,3.63,2.39,3.63,1.77,2.54,1.77,2.55,1.70,2.36,1.67,2.36,0.93,1.33,0.93,1.33,0.07,0.04,0.00,0.01,0.02,
00:00:24:023, 1.10,0.91,0.19,0.25,0.03,0.26,0.03,0.08,0.02,0.06,0.02,0.04,0.02,0.05,0.02,0.09,0.02,0.09,0.02,21.22,5.85,4.82,10.55,0.00,37.02,15.03,21.99,2.47,3.44,2.48,3.44,1.62,2.36,1.59,2.36,2.38,3.30,2.37,3.30,1.06,1.89,1.06,1.89,0.09,0.04,0.00,0.02,0.03,
00:00:24:275, 0.69,0.51,0.18,0.06,0.02,0.06,0.02,0.04,0.02,0.04,0.02,0.05,0.03,0.05,0.03,0.11,0.03,0.11,0.03,20.77,5.01,5.26,10.50,0.00,40.70,16.80,23.91,1.88,2.52,1.88,2.52,2.55,3.32,2.55,3.32,1.64,2.67,1.61,2.67,2.34,3.44,2.35,3.44,0.08,0.05,0.00,0.01,0.02,
00:00:24:527, 0.73,0.54,0.19,0.05,0.02,0.05,0.02,0.05,0.02,0.05,0.02,0.06,0.03,0.06,0.03,0.11,0.03,0.11,0.03,21.00,5.07,5.35,10.58,0.00,33.74,12.71,21.03,1.31,2.25,1.31,2.25,1.70,2.80,1.69,2.80,1.76,2.82,1.74,2.82,1.60,2.64,1.60,2.64,0.09,0.04,0.00,0.02,0.02,
00:00:24:780, 0.65,0.48,0.17,0.05,0.02,0.05,0.02,0.05,0.02,0.05,0.02,0.04,0.02,0.05,0.02,0.09,0.02,0.09,0.02,21.51,5.59,5.37,10.56,0.00,25.30,9.33,15.97,0.63,1.09,0.62,1.09,1.61,3.02,1.61,3.02,1.41,1.81,1.40,1.81,1.02,2.06,1.02,2.06,0.08,0.04,0.00,0.02,0.03,
00:00:25:032, 0.69,0.50,0.19,0.05,0.02,0.06,0.02,0.05,0.02,0.05,0.02,0.05,0.03,0.05,0.03,0.10,0.03,0.10,0.03,21.14,5.21,5.37,10.55,0.00,42.41,16.01,26.41,1.63,2.43,1.63,2.43,2.04,3.46,2.04,3.45,2.53,4.02,2.51,4.02,1.82,3.30,1.82,3.30,0.08,0.04,0.00,0.02,0.01,
00:00:25:284, 0.70,0.52,0.18,0.06,0.02,0.06,0.02,0.05,0.02,0.05,0.02,0.05,0.03,0.05,0.03,0.10,0.02,0.10,0.02,22.24,6.24,5.37,10.62,0.00,30.26,11.39,18.87,0.91,1.68,0.91,1.68,2.55,3.60,2.55,3.60,1.19,2.32,1.18,2.32,1.05,1.84,1.05,1.84,0.08,0.04,0.00,0.03,0.02,
00:00:25:536, 0.66,0.48,0.18,0.05,0.02,0.05,0.02,0.05,0.02,0.05,0.02,0.05,0.03,0.05,0.03,0.09,0.02,0.09,0.02,21.57,5.70,5.32,10.55,0.00,29.72,11.72,17.99,1.37,1.67,1.37,1.67,2.06,3.22,2.06,3.22,1.26,2.26,1.24,2.26,1.18,1.84,1.18,1.85,0.08,0.04,0.00,0.02,0.02,
00:00:25:789, 0.67,0.50,0.17,0.06,0.02,0.06,0.02,0.06,0.02,0.05,0.02,0.04,0.02,0.05,0.02,0.09,0.02,0.09,0.02,20.79,5.21,4.98,10.60,0.00,31.99,12.06,19.92,1.49,2.58,1.49,2.58,1.28,2.15,1.28,2.15,1.89,2.95,1.87,2.96,1.38,2.28,1.38,2.28,0.08,0.04,0.00,0.02,0.02,
00:00:26:041, 0.66,0.48,0.18,0.06,0.02,0.06,0.02,0.04,0.02,0.04,0.02,0.05,0.03,0.05,0.03,0.09,0.02,0.09,0.02,20.76,5.16,5.02,10.58,0.00,38.05,14.35,23.70,2.64,4.12,2.64,4.12,0.98,1.70,0.97,1.70,1.65,2.96,1.65,2.96,1.91,3.07,1.91,3.07,0.08,0.04,0.00,0.02,0.02,
00:00:26:293, 0.68,0.51,0.17,0.05,0.02,0.06,0.02,0.05,0.02,0.06,0.02,0.05,0.03,0.05,0.03,0.09,0.02,0.09,0.02,22.16,6.50,5.11,10.54,0.00,36.54,14.08,22.46,2.14,3.25,2.14,3.25,1.78,2.83,1.78,2.84,2.51,4.06,2.49,4.06,0.63,1.09,0.63,1.09,0.09,0.05,0.00,0.01,0.03,
00:00:26:546, 0.69,0.52,0.17,0.05,0.02,0.05,0.02,0.06,0.02,0.06,0.02,0.05,0.02,0.05,0.02,0.10,0.02,0.10,0.02,20.91,4.97,5.41,10.53,0.00,36.87,14.55,22.32,1.99,3.03,1.98,3.03,1.72,2.82,1.72,2.83,1.51,2.64,1.49,2.63,2.07,2.67,2.07,2.67,0.08,0.05,0.00,0.02,0.02,
00:00:26:798, 0.67,0.50,0.17,0.06,0.02,0.06,0.02,0.05,0.02,0.05,0.02,0.05,0.03,0.05,0.03,0.09,0.02,0.09,0.02,20.93,5.23,5.15,10.55,0.00,41.17,14.92,26.25,1.80,3.32,1.80,3.32,1.58,2.88,1.58,2.88,1.74,2.82,1.72,2.82,2.35,4.10,2.35,4.10,0.08,0.05,0.00,0.01,0.02,
00:00:27:051, 0.66,0.50,0.17,0.05,0.02,0.05,0.02,0.05,0.02,0.05,0.02,0.05,0.02,0.05,0.02,0.10,0.02,0.10,0.02,21.11,4.83,5.69,10.59,0.00,27.77,9.99,17.79,1.42,2.52,1.41,2.52,1.82,3.17,1.82,3.17,1.01,1.87,1.00,1.87,0.75,1.33,0.75,1.33,0.08,0.03,0.00,0.03,0.01,
00:00:27:303, 0.67,0.50,0.17,0.05,0.02,0.05,0.02,0.06,0.02,0.06,0.02,0.05,0.02,0.05,0.02,0.09,0.02,0.10,0.02,19.89,4.81,4.55,10.54,0.00,35.65,13.77,21.88,1.59,2.66,1.58,2.66,1.89,3.02,1.88,3.02,1.61,2.19,1.59,2.19,1.82,3.07,1.81,3.07,0.08,0.04,0.00,0.02,0.02,
00:00:27:555, 0.73,0.57,0.16,0.06,0.02,0.06,0.02,0.07,0.02,0.07,0.02,0.06,0.01,0.07,0.01,0.09,0.02,0.09,0.02,0.04,0.02,0.01,0.01,0.00,30.28,13.71,16.58,1.57,2.58,1.57,2.58,2.04,3.25,2.04,3.25,1.47,0.54,1.49,0.54,1.77,1.93,1.77,1.93,0.08,0.03,0.00,0.03,0.02,
00:00:27:808, 0.22,0.12,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.23,0.13,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:28:060, 0.21,0.11,0.10,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.21,0.11,0.10,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:28:313, 0.21,0.11,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.21,0.11,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.01,0.00,0.01,0.01,
